[16:48:36.560] "0.1	0.04934396342684	199.90131207314633"
[16:48:36.663] "0.2	0.1973271571728441	199.6053456856543"
[16:48:37.361] "0.30000000000000004	0.44380353969200037	199.112392920616"
[16:48:37.383] "0.4	0.7885298685522124	198.42294026289557"
[16:48:37.470] "0.5	1.231165940486223	197.53766811902756"
[16:48:37.725] "0.6	1.7712749271311279	196.45745014573774"
[16:48:37.748] "0.7	2.4083238061252565	195.1833523877495"
[16:48:37.759] "0.7999999999999999	3.1416838871368924	193.71663222572622"
[16:48:37.802] "0.8999999999999999	3.9706314323056935	192.0587371353886"
[16:48:37.823] "0.9999999999999999	4.894348370484636	190.21130325903073"
[16:48:37.866] "1.0999999999999999	5.911923104577454	188.1761537908451"
[16:48:37.881] "1.2	7.022351411174855	185.9552971776503"
[16:48:37.894] "1.3	8.224537431601886	183.55092513679622"
[16:48:37.907] "1.4000000000000001	9.517294753398053	180.9654104932039"
[16:48:37.942] "1.5000000000000002	10.89934758116321	178.20130483767358"
[16:48:37.991] "1.6000000000000003	12.369331995613642	175.26133600877273"
[16:48:38.016] "1.7000000000000004	13.925797299605636	172.14840540078873"
[16:48:38.028] "1.8000000000000005	15.567207449798504	168.865585100403"
[16:48:38.040] "1.9000000000000006	17.291942572543828	165.41611485491234"
[16:48:38.062] "2.0000000000000004	19.098300562505266	161.80339887498945"
[16:48:38.092] "2.1000000000000005	20.98449876243097	158.03100247513805"
[16:48:38.124] "2.2000000000000006	22.948675722421086	154.10264855515783"
[16:48:38.175] "2.3000000000000007	24.988893036954064	150.02221392609187"
[16:48:38.213] "2.400000000000001	27.10313725785887	145.79372548428228"
[16:48:38.252] "2.500000000000001	29.289321881345266	141.42135623730948"
[16:48:38.270] "2.600000000000001	31.54528940713115	136.9094211857377"
[16:48:38.301] "2.700000000000001	33.86881346763483	132.26237306473035"
[16:48:38.330] "2.800000000000001	36.25760102513106	127.48479794973788"
[16:48:38.351] "2.9000000000000012	38.70929463470239	122.58141073059522"
[16:48:38.368] "3.0000000000000013	41.22147477075272	117.55705045849456"
[16:48:38.381] "3.1000000000000014	43.791662214786975	112.41667557042605"
[16:48:38.392] "3.2000000000000015	46.41732050210038	107.16535899579924"
[16:48:38.423] "3.3000000000000016	49.09585842496291	101.80828315007417"
[16:48:38.458] "3.4000000000000017	51.824632589828525	96.35073482034295"
[16:48:38.479] "3.5000000000000018	54.60095002604537	90.79809994790925"
[16:48:38.577] "3.600000000000002	57.422070843492776	85.15585831301445"
[16:48:38.606] "3.700000000000002	60.285210936521985	79.42957812695603"
[16:48:38.637] "3.800000000000002	63.187544731532256	73.62491053693549"
[16:48:38.670] "3.900000000000002	66.1262079754709	67.74758404905818"
[16:48:38.704] "4.000000000000002	69.09830056250532	61.80339887498937"
[16:48:38.726] "4.100000000000001	72.10088939607712	55.798221207845764"
[16:48:38.739] "4.200000000000001	75.13101128351455	49.73797743297091"
[16:48:38.754] "4.300000000000001	78.18567586034575	43.62864827930849"
[16:48:38.765] "4.4	81.26186854142755	37.4762629171449"
[16:48:38.777] "4.5	84.35655349597691	31.286893008046185"
[16:48:38.805] "4.6	87.46667664356956	25.066646712860894"
[16:48:38.836] "4.699999999999999	90.58916866814855	18.821662663702902"
[16:48:38.853] "4.799999999999999	93.72094804706863	12.55810390586275"
[16:48:38.873] "4.899999999999999	96.85892409218711	6.282151815625768"
[16:48:38.911] Error in parsing value for 'width'.  Declaration dropped. @ file:///home/irpagnossin/Desktop/test_flip.js/index.html
[16:48:38.912] "4.999999999999998	99.99999999999993	1.4547323094649232e-13"
[16:48:38.923] "5.099999999999998	96.85892409218724	-6.2821518156255225"
[16:48:38.936] "5.1999999999999975	93.72094804706876	-12.558103905862502"
[16:48:38.948] "5.299999999999997	90.58916866814867	-18.821662663702657"
[16:48:38.959] "5.399999999999997	87.46667664356967	-25.066646712860653"
[16:48:38.990] "5.4999999999999964	84.35655349597702	-31.28689300804594"
[16:48:39.004] "5.599999999999996	81.26186854142767	-37.47626291714466"
[16:48:39.014] "5.699999999999996	78.18567586034587	-43.62864827930825"
[16:48:39.024] "5.799999999999995	75.13101128351467	-49.73797743297067"
[16:48:39.035] "5.899999999999995	72.10088939607724	-55.798221207845536"
[16:48:39.046] "5.999999999999995	69.09830056250543	-61.803398874989135"
[16:48:39.076] "6.099999999999994	66.12620797547103	-67.74758404905793"
[16:48:39.103] "6.199999999999994	63.187544731532384	-73.62491053693522"
[16:48:39.113] "6.299999999999994	60.28521093652214	-79.42957812695572"
[16:48:39.124] "6.399999999999993	57.42207084349293	-85.15585831301415"
[16:48:39.137] "6.499999999999993	54.600950026045524	-90.79809994790895"
[16:48:39.148] "6.5999999999999925	51.82463258982869	-96.35073482034262"
[16:48:39.168] "6.699999999999992	49.095858424963104	-101.80828315007379"
[16:48:39.183] "6.799999999999992	46.41732050210058	-107.16535899579884"
[16:48:39.195] "6.8999999999999915	43.79166221478715	-112.4166755704257"
[16:48:39.206] "6.999999999999991	41.221474770752906	-117.55705045849419"
[16:48:39.219] "7.099999999999991	38.70929463470259	-122.58141073059483"
[16:48:39.230] "7.19999999999999	36.25760102513127	-127.48479794973746"
[16:48:39.251] "7.29999999999999	33.868813467635064	-132.26237306472987"
[16:48:39.268] "7.39999999999999	31.54528940713138	-136.90942118573724"
[16:48:39.280] "7.499999999999989	29.289321881345508	-141.42135623730897"
[16:48:39.290] "7.599999999999989	27.10313725785908	-145.79372548428185"
[16:48:39.303] "7.699999999999989	24.988893036954284	-150.02221392609144"
